Location in well All,Location in well Heatshock,Location in well Dark flashes,Location in well Morning 2,Location in well Morning transition 2,Location in well Night 2b,Location in well Night stimulation,Location in well Night 2,Location in well Night transition,Location in well Evening,Location in well Taps,Location in well Day baseline,Location in well Morning stimulation,Location in well Morning transition 1,Location in well Night 1,Features of movement All,Features of movement Heatshock,Features of movement Dark flashes,Features of movement Morning 2,Features of movement Morning transition 2,Features of movement Night 2b,Features of movement Night stimulation,Features of movement Night 2,Features of movement Night transition,Features of movement Evening,Features of movement Taps,Features of movement Day baseline,Features of movement Morning stimulation,Features of movement Morning transition 1,Features of movement Night 1,Frequency of movement All,Frequency of movement Heatshock,Frequency of movement Dark flashes,Frequency of movement Morning 2,Frequency of movement Morning transition 2,Frequency of movement Night 2b,Frequency of movement Night stimulation,Frequency of movement Night 2,Frequency of movement Night transition,Frequency of movement Evening,Frequency of movement Taps,Frequency of movement Day baseline,Frequency of movement Morning stimulation,Frequency of movement Morning transition 1,Frequency of movement Night 1
ntm,-0.091619565,-0.176375,0.351,-0.578875,-0.345133266,0.454625,-0.0275,0.024,-0.408858661,-0.08175,0.10925,-0.18925,-0.01825,-0.017603772,0.012,-0.015256849,-0.014375,-0.250857143,-0.024,-0.360200984,-0.0235,0.014166667,-0.01675,0.274936495,0.406357143,-0.009666667,-0.013571429,-0.01725,0.027517293,-0.01125,0.267514599,0.248333333,0.264583333,0.04125,0.269409128,-0.217333333,0.006,0.36425,-0.318195024,0.003625,0.02,-0.237333333,-0.0025,0.018,0.01
nxph4,0.385907126,0.415125,0.5555,0.34625,0.498041567,-0.638625,0.552875,-0.61475,-0.528958561,0.301125,0.144375,-0.570875,0.652375,0.022802726,-0.564125,-0.413851669,-0.411785714,-0.023142857,-0.402642857,-0.587023011,-0.539642857,-0.0145,0.340571429,0.55127877,-0.01475,-0.524071429,-0.011,-0.442,-0.465156854,0.363285714,-0.406909527,-0.344416667,-0.184416667,-0.516833333,-0.455705731,0.2895,0.469416667,0.310833333,-0.423961864,-0.400333333,-0.574666667,-0.567083333,-0.62125,-0.295223377,-0.0126
ogfod2,0.486943082,0.513125,0.521375,-0.516375,-0.631137386,0.4925,-0.517,0.600375,-0.566307293,0.323,-0.768625,0.468875,0.701125,0.496112694,0.809375,0.422025886,-0.334285714,0.524357143,-0.395642857,0.014729343,0.548357143,0.380428571,-0.509285714,-0.524004463,-0.711285714,-0.720142857,0.659857143,0.405928571,-0.61757522,0.567857143,-0.509465361,-0.544,0.636,0.693333333,-0.576863836,0.442083333,-0.4255,-0.418083333,-0.597071561,-0.363416667,-0.600583333,-0.2675,0.675,-0.700178015,0.33225
otud7b,-0.016670303,-0.423875,-0.44875,0.405375,-0.41058504,-0.1895,-0.090125,-0.39825,-0.440800354,0.411,-0.0132,-0.607125,-0.325375,-0.331726188,-0.194625,0.634328109,-0.590857143,0.590357143,-0.584785714,0.408054951,-0.435428571,-0.556142857,0.333428571,-0.540331867,-0.472214286,0.543642857,0.017166667,-0.463714286,0.431591861,0.330214286,-0.166276314,-0.014142857,-0.310916667,-0.202583333,-0.439949381,0.3815,0.022166667,0.024428571,-0.372581342,-0.013428571,-0.0234,-0.0162,-0.007333333,-0.020960508,-0.265
pak6b,0.23980784,0.237,0.53075,0.3765,-0.43992934,0.25075,0.509,0.4675,0.491965307,0.464,0.076625,-0.699875,-0.741625,-0.465988157,0.312625,-0.477308509,-0.634357143,-0.714,-0.486857143,0.545850425,-0.587357143,0.435928571,-0.691214286,0.591573618,0.438714286,-0.248,-0.505785714,-0.521142857,-0.540797857,-0.434428571,0.628508123,-0.659083333,0.55675,0.669083333,-0.486843813,0.550833333,-0.541916667,-0.559666667,-0.574069609,-0.553,0.519583333,0.613666667,0.706416667,0.614841929,-0.261416667
pitnm2,3.73281E-07,0.001,0.001,0.001,0.010187888,0.007875,0.001,0.00425,0.012434731,0.001,0.001,0.001,0.286375,0.214419448,0.0038,-0.001378133,0.005333333,-0.00575,0.430571429,-0.493294374,0.007375,-0.001,-0.0015,-0.020668511,-0.005363636,-0.005416667,-0.002875,-0.00425,-0.017016233,-0.003090909,-0.002022577,-0.0065,-0.005272727,-0.002166667,-0.002756106,-0.278833333,-0.0025,-0.011,-0.006787474,-0.003363636,-0.013333333,-0.0029,0.00625,-0.008827963,0.0084
plch2a,-0.900782341,-0.829,0.5685,0.836375,-0.644302643,-0.635625,-0.705125,0.4595,-0.613666636,-0.67075,-0.206375,0.6115,-0.852125,-0.41895228,0.404,-0.460222552,-0.456357143,-0.632142857,-0.455785714,0.561894947,-0.564714286,-0.292285714,-0.376,-0.518942642,-0.542928571,-0.543785714,0.547857143,-0.403,-0.589228577,0.484357143,-0.226804405,-0.35,-0.353666667,0.411083333,0.525149629,0.004,0.004,-0.4875,0.6131076,0.54375,0.670166667,-0.0222,-0.320416667,-0.66804446,0.5805
plcl1,0.11121459,0.668875,0.02775,0.021833333,0.433128033,0.5755,-0.476875,0.5455,0.413358737,0.129125,0.167125,-0.12075,0.012333333,0.33658987,-0.389625,-0.555169916,-0.489428571,-0.0124,-0.0255,-0.432052728,0.561857143,-0.406857143,0.440857143,0.298194552,0.487214286,-0.414285714,-0.408928571,-0.305142857,0.028082056,-0.3805,0.449087699,-0.732166667,0.40175,0.309833333,-0.308227545,0.417666667,0.321166667,0.3345,0.367971259,0.380916667,0.470333333,0.003375,0.320333333,0.333990613,-0.239666667
ppp1r16b,0.119804239,0.683,0.0345,0.35775,-0.622500079,-0.427375,0.22525,0.5765,-0.250716312,0.04825,-0.74625,0.572375,0.680875,0.662415041,0.631375,0.51400593,0.432357143,0.014,0.348285714,0.407609937,0.416785714,0.748642857,0.401642857,-0.572345353,0.546,0.520285714,-0.7035,0.594857143,0.40518126,-0.601142857,-0.634013888,-0.769166667,-0.01925,0.658416667,0.483999654,-0.500583333,0.671416667,0.70825,0.528707595,-0.3875,0.556416667,0.248916667,-0.486666667,0.272118394,-0.439916667
ptn,0.934632919,0.308625,-0.803,0.842,0.674936234,0.356875,0.619375,0.6465,-0.442091526,0.646,0.5445,0.50425,0.208,0.381392528,-0.57825,-0.634460206,-0.450785714,0.747142857,0.376071429,-0.567036465,0.559928571,0.638214286,-0.5435,-0.596354359,-0.772928571,-0.494214286,-0.631714286,-0.686857143,0.484073893,0.322,0.712569842,0.4055,-0.31425,-0.317583333,-0.545658873,0.524666667,0.8035,-0.1715,-0.457061938,-0.55075,-0.699666667,0.764583333,0.3755,0.294464738,-0.3175
ptprf,0.00844279,0.43275,0.00625,0.024,0.100180104,0.35275,0.081125,-0.46475,0.363051102,0.0015,0.026,0.006714286,-0.096625,-0.237667,0.012285714,0.002815265,0.0275,0.0045,-0.00375,-0.339553357,-0.310357143,-0.325285714,0.0115,0.288967201,-0.234071429,-0.015,-0.01425,0.017875,0.344191795,-0.01725,0.013059057,0.001,0.0024,-0.019,0.0024,-0.0095,-0.223916667,-0.181,-0.019688164,0.001666667,0.011857143,0.1705,0.010888889,0.017613615,0.0043
r3hdm2,0.666686004,-0.455375,0.780625,-0.022,-0.312132743,0.710375,0.005,0.119,-0.430263647,0.5185,0.471875,0.025571429,-0.652625,-0.447178007,0.277,-0.440406139,-0.012666667,-0.320785714,-0.373,-0.428812839,-0.255428571,0.545357143,-0.726142857,-0.651539153,-0.341857143,-0.367142857,-0.011333333,-0.013833333,-0.51059284,-0.542142857,0.540066357,0.40175,-0.31825,0.3585,-0.348451429,0.589333333,0.53,-0.534333333,-0.428629614,-0.694583333,0.595666667,0.01225,0.008,0.017379309,-0.013714286
rgs6,-0.550484598,0.507875,0.46325,0.0282,-0.33557693,0.429,0.0172,-0.164125,0.374892818,-0.205875,-0.138375,0.367625,-0.093,-0.337994531,0.455375,0.018789972,0.345357143,0.005,0.394214286,0.391460019,0.391428571,0.00875,0.293428571,0.394437765,0.245857143,0.011166667,0.00875,0.00725,0.02090893,0.0205,-0.023371635,-0.220583333,-0.0186,-0.00525,-0.290739874,-0.408166667,-0.00325,0.0238,-0.299756909,-0.40725,0.367333333,-0.250666667,-0.017285714,0.358770706,-0.014666667
rora,-0.208324508,-0.2165,-0.0225,-0.008625,-0.28463703,-0.359125,-0.146375,-0.018,-0.383432154,-0.564125,-0.219125,-0.18725,-0.168375,-0.01965711,0.0222,0.010462538,0.008375,0.0031,0.0022,0.008645188,0.014,0.006,0.0194,0.345573371,0.0155,0.016571429,0.027285714,0.002875,0.333133331,0.0045,0.30549792,-0.56375,0.0062,0.006333333,0.014797176,-0.192,0.37625,-0.231083333,-0.390780815,-0.565333333,0.0112,0.524833333,0.188416667,0.037071524,-0.256416667
satb1,0.19107978,0.079125,0.017428571,-0.21225,0.245802852,-0.238125,-0.003166667,0.0075,-0.24036344,-0.002428571,-0.088,-0.346625,-0.003,0.015783571,-0.009714286,0.571056653,0.480857143,0.00325,-0.01675,-0.022720026,0.02475,0.0108,-0.0046,0.033581727,-0.009,0.01625,0.0215,0.00425,0.298860003,-0.026,0.378660057,0.601333333,-0.016875,-0.003833333,0.206934749,0.221666667,-0.301,0.374916667,0.005655523,0.1865,-0.194416667,-0.011285714,0.029,-0.0175,-0.015428571
satb2,-0.436936202,-0.072,0.512375,-0.59175,-0.386019227,0.168875,0.006333333,-0.267875,0.329487665,-0.144,-0.3945,-0.038666667,-0.301625,-0.206389612,-0.34575,0.02402479,0.425642857,-0.352071429,-0.314357143,-0.319799939,0.323285714,-0.393285714,0.467142857,-0.021181049,-0.387642857,-0.016,-0.0236,-0.308071429,-0.236546034,-0.021666667,0.320516057,0.023,-0.251416667,0.36125,0.101445015,0.0325,0.4135,-0.37,-0.0075,-0.23925,0.171916667,0.010166667,0.479083333,0.479449657,-0.553666667
sbno1,-0.002217409,0.006375,-0.002375,0.357125,-0.010346299,-0.028,0.2025,-0.418125,-0.360776646,-0.0065,-0.005428571,-0.001875,-0.0065,-0.008275411,-0.256625,-0.001580299,0.003222222,0.0015,0.004090909,0.02457876,-0.00275,-0.001,-0.001,-0.016008893,0.015857143,0.0035,0.0045,-0.001,-0.018224801,0.0065,-0.000350507,-0.001,-0.001,-0.001333333,-0.003096256,0.014,-0.00375,0.008625,-0.001427396,0.001,-0.001,-0.001,-0.0054,-0.003469153,0.001
sdccag8,-0.338868294,-0.077375,-0.0318,-0.0945,0.426739541,-0.344375,-0.0338,-0.51375,-0.326712527,-0.01775,-0.273125,0.554375,-0.122,0.0285,-0.26875,0.23300982,-0.0372,0.327428571,0.474,-0.51140086,-0.0125,-0.433214286,0.567642857,-0.388182752,0.00575,0.4295,-0.00625,-0.455857143,0.493916842,-0.436928571,0.015329105,0.486666667,0.009,0.391916667,0.493653093,-0.306083333,-0.362166667,0.35775,0.422867152,0.016833333,-0.650416667,-0.552916667,0.32425,0.008515522,0.002375
41884,-0.858792886,0.667375,-0.488625,-0.364375,-0.498096725,-0.35875,0.62275,0.55625,-0.467644235,-0.4185,-0.57275,-0.42825,-0.50975,0.484180516,0.57825,0.708710009,0.538071429,0.572285714,-0.693428571,0.293424209,0.515571429,-0.506714286,0.425285714,0.43790479,-0.814214286,0.474285714,0.166071429,0.339214286,0.484529845,-0.610928571,-0.701127385,-0.426083333,-0.436166667,-0.647583333,-0.617679189,0.726416667,0.451916667,-0.03875,0.264924468,0.759333333,0.718416667,0.519,-0.40375,0.622948369,0.714583333
sez6l2,-0.729697986,-0.699875,-0.73225,-0.4745,-0.531608625,0.788375,0.605875,-0.715375,0.694940327,-0.449875,-0.72,0.37825,0.634875,0.548545771,0.784875,0.624945448,0.445357143,0.316071429,0.506071429,-0.418982746,-0.372642857,-0.397642857,0.464785714,0.712614056,0.3465,0.423214286,0.433428571,-0.709071429,0.60169535,-0.592571429,-0.292303224,0.890166667,-0.214083333,-0.291583333,-0.0185,0.482916667,-0.3075,-0.013857143,0.48022703,0.01575,-0.41325,-0.595666667,0.624166667,-0.396049145,-0.591583333
shisa9,0.221642942,0.063,-0.33175,0.197625,0.244423459,0.032,0.151875,0.0162,0.199506258,0.217625,0.1585,0.36025,0.0075,-0.23553281,0.03025,-0.322869515,0.324071429,0.018,0.293428571,-0.019458035,0.022166667,0.274428571,-0.236071429,0.274332097,-0.208714286,-0.294857143,-0.01525,0.01725,0.397722422,0.00175,0.025740411,-0.0075,0.0395,-0.148083333,0.01925,0.0172,-0.231916667,-0.029,0.131369723,0.338083333,0.021555556,-0.00625,-0.231416667,0.24200147,0.0155
shmt2,-0.143990638,-0.015,-0.26425,-0.21975,-0.191654292,-0.400625,-0.444,-0.513125,0.506489112,-0.19775,-0.00725,-0.3685,-0.0178,-0.301757631,-0.294875,-0.548307929,-0.421214286,-0.360571429,-0.368714286,-0.415024321,-0.303071429,0.362071429,0.395928571,0.451610159,-0.389,0.0215,0.022428571,0.362428571,-0.373606793,-0.285928571,-0.00590759,-0.0222,-0.0105,-0.009333333,-0.439365996,0.220916667,0.24475,0.024,-0.008,-0.006333333,-0.001666667,-0.0156,-0.016166667,-0.386799403,-0.31625
sipa1l1,0.221001568,0.033,0.540375,0.4865,0.119440447,0.392875,-0.58275,0.431625,0.385694866,0.19875,0.656625,0.483125,0.38525,0.020856508,0.0145,-0.644519151,0.465571429,-0.3095,-0.444142857,-0.432623953,-0.649357143,0.602714286,0.504,-0.488440441,-0.541,0.437714286,-0.366285714,0.305,-0.020118181,-0.356142857,0.415275118,-0.01425,0.425416667,-0.54075,-0.398658073,0.627583333,-0.420583333,-0.444,0.333514689,0.339083333,0.51775,0.023,0.473583333,-0.312296175,0.0035
slc32a1,-0.295094421,-0.728,-0.0385,0.44775,-0.574894779,-0.60175,-0.259625,-0.31025,0.4409563,-0.225125,-0.262625,-0.441375,-0.457625,0.494258247,-0.559375,0.4982005,-0.405928571,-0.341285714,-0.5555,-0.52387118,-0.476642857,-0.484928571,-0.239214286,-0.343230496,-0.340642857,-0.364,0.571571429,-0.519857143,-0.473105291,0.311,-0.23226461,-0.0014,-0.202,-0.3615,-0.285385439,0.463166667,-0.0344,0.33825,-0.001,-0.013,-0.210666667,-0.640583333,0.33375,-0.508777465,-0.270083333
slc35g2,0.164208418,0.006625,0.124875,0.1215,0.380304621,0.3015,-0.293375,0.41275,-0.562939154,0.0262,0.024666667,-0.2745,0.15075,0.510950113,0.423,0.371213718,-0.324357143,0.377571429,0.0208,0.55953398,0.012333333,0.289428571,0.399714286,0.548151175,0.01075,0.031,0.379642857,0.0102,-0.488179084,0.03275,0.358358084,0.0054,0.23375,-0.31025,0.326310213,0.34375,0.007333333,0.0055,0.254150411,0.37525,0.321833333,0.026,-0.36425,-0.533866179,-0.373666667
slc38a7,-0.916855035,-0.566625,0.6715,-0.569625,0.460680754,0.317375,0.359625,0.5605,-0.294462933,0.548625,0.4695,0.506375,0.564125,-0.540490245,-0.741375,-0.018313256,-0.0176,-0.337428571,-0.01075,0.398448823,-0.0208,-0.00125,-0.5425,-0.439223855,-0.484357143,-0.271142857,-0.510357143,-0.420714286,-0.4828767,-0.449357143,-0.132538779,-0.013,-0.0186,-0.02,-0.175748336,-0.454083333,-0.02125,-0.373666667,-0.615249857,-0.022,0.2625,-0.504666667,-0.329666667,-0.291354862,-0.345833333
slc39a8,-0.029337771,-0.1825,-0.0278,-0.130375,-0.280948881,-0.6095,-0.27475,-0.260625,0.498677438,-0.024571429,-0.01775,-0.236875,0.36025,-0.623665857,-0.503875,-0.739722493,0.3835,-0.815714286,-0.411785714,-0.45101208,0.575571429,-0.683571429,-0.545857143,-0.563212982,-0.573714286,0.555,0.6245,0.211785714,-0.570319784,0.660857143,0.426076993,0.763666667,0.411583333,0.432416667,0.308148721,-0.449416667,-0.482416667,-0.436583333,-0.550359578,0.452666667,0.296833333,0.62325,0.429416667,0.600859064,-0.553583333
snap91,-0.002254149,-0.0035,-0.001875,0.003125,0.01445397,0.023833333,-0.136625,-0.160125,0.199606167,-0.00175,-0.0018,-0.001,-0.002666667,-0.093395297,-0.179375,-0.02778474,0.020444444,0.172285714,0.0175,0.346038159,-0.243714286,-0.014,-0.359428571,0.020936562,0.024,-0.02125,-0.0055,-0.0114,0.258053328,0.016,0.00677407,-0.001166667,-0.001444444,-0.425,0.196265677,0.273666667,-0.004142857,0.001285714,0.001266326,-0.346666667,0.0165,0.001,0.001111111,0.197529096,0.00275
snx19,-0.138088001,0.3535,-0.194625,0.228125,-0.358535259,-0.3025,0.390625,0.279125,-0.551344916,-0.0148,0.4355,0.0038,0.18875,0.394058912,-0.140375,-0.531548658,0.470285714,-0.549357143,0.32,0.459105682,0.329714286,-0.348714286,0.379642857,-0.404433009,-0.311714286,0.281285714,0.433857143,0.006,-0.410591099,0.365928571,0.451190803,-0.009666667,-0.411166667,-0.03025,-0.339464484,0.427833333,-0.0215,0.346583333,0.389514069,0.269666667,-0.268,-0.006,-0.002777778,-0.013969949,-0.001
srebf2,-0.393322738,-0.141625,-0.079125,-0.313375,-0.215543718,0.358875,-0.627875,0.70025,0.398219865,-0.206125,-0.281875,-0.606375,0.547,-0.442196577,0.365,-0.516968594,-0.449428571,-0.294928571,-0.405428571,-0.468313607,0.412214286,-0.350714286,-0.439357143,-0.564379954,-0.501714286,-0.307071429,0.451714286,0.440928571,-0.277019136,-0.4015,-0.438492022,-0.568,0.321,0.47,-0.301526557,-0.566,-0.034,-0.193333333,-0.388253085,0.0125,-0.423333333,-0.157416667,-0.012714286,-0.015112802,-0.27675
srpk2,-0.592015329,0.032,-0.191125,0.319125,-0.466355723,-0.48625,0.489875,-0.322875,0.296188889,-0.581375,-0.384125,-0.482375,0.307625,0.404201612,-0.18575,0.237484971,-0.344857143,0.028333333,0.0222,0.021863155,0.353642857,0.2975,0.0192,0.026867565,0.013857143,0.0188,0.292285714,-0.014333333,0.518485957,0.3295,0.280599651,0.353833333,0.291,0.457083333,0.614496608,-0.337166667,0.502166667,-0.0148,-0.025779771,0.315166667,0.426,-0.4235,-0.446333333,-0.41799835,-0.495416667
srr,0.683875723,-0.600625,0.426125,0.38175,0.432188876,0.426375,0.242125,0.39175,-0.365731984,0.37825,0.605375,0.565125,0.30525,0.36440865,0.32925,0.439640312,0.372428571,0.319071429,0.487214286,0.533361052,-0.499571429,0.428642857,-0.0185,0.457784642,0.01325,0.320857143,0.02975,0.424,0.444931879,0.501857143,0.457671298,0.5105,-0.669333333,0.567833333,0.291131339,0.025,-0.587666667,0.336333333,0.421358288,0.435,0.501166667,0.454,-0.67575,0.42923863,0.481666667
stat6,-0.511530482,-0.326,-0.563,-0.51575,0.584349094,-0.5945,0.640375,-0.602875,-0.48539649,-0.27125,-0.720125,0.73625,-0.60225,0.510593617,0.6695,-0.464532094,0.576428571,0.663357143,0.359785714,0.367299519,-0.476642857,-0.720428571,0.003,0.631331514,0.455071429,-0.633785714,0.477928571,0.485642857,0.526682358,0.01625,0.73118727,0.479,-0.543916667,-0.598583333,0.71151258,0.765916667,-0.48575,0.320833333,0.714046457,0.398916667,0.40325,-0.724083333,-0.431083333,-0.423739947,-0.521916667
sybu,0.818750452,-0.3805,-0.806375,0.77425,0.647231441,0.737125,-0.231375,0.262875,-0.633998394,0.81425,0.74175,0.587,-0.621,-0.69385384,0.535125,0.69327064,0.024,-0.647571429,-0.558642857,0.579652501,-0.377785714,-0.404857143,0.643071429,0.670843859,-0.728214286,0.619071429,-0.349642857,-0.535714286,-0.419990213,0.607928571,0.730716241,0.68125,0.574,0.476583333,0.629011423,0.5665,0.6745,-0.348166667,0.71869721,-0.665416667,0.41525,0.483333333,0.434583333,0.584909982,-0.672916667
syngap1,0.018482499,0.001,0.012,0.131875,0.035062103,0.358,0.007666667,0.126875,0.020814162,0.0292,0.023857143,0.037166667,0.02075,0.010554125,0.062,0.189748618,-0.309142857,0.00575,-0.0145,-0.271039797,0.0185,0.3475,0.262714286,0.358865282,-0.0072,-0.2315,-0.00825,-0.010142857,0.327252892,0.202785714,0.006855206,0.001166667,0.006111111,0.164916667,0.339976236,-0.16075,-0.017,-0.0168,-0.269538705,-0.016714286,0.0165,0.01075,-0.0125,-0.24251912,-0.0064
tbc1d5,0.754592192,0.716875,0.4015,0.438875,0.49981041,0.6705,0.312375,0.0108,0.71302143,0.5595,0.73975,-0.564125,-0.306625,-0.498241069,-0.32175,0.317129781,0.0083,0.236142857,0.214857143,0.804776722,0.380357143,-0.611571429,0.532571429,0.428757141,0.2545,0.295214286,-0.352642857,0.272071429,-0.559237381,0.418,-0.516956025,0.612666667,-0.359333333,-0.434416667,-0.548599227,0.523333333,0.523083333,-0.531666667,0.510916633,-0.4835,-0.028571429,-0.729416667,0.513083333,0.503311754,0.00725
tcf20,2,2,-0.584625,-0.631625,-0.745143089,-0.5315,0.581375,-0.70375,0.795910762,0.705125,-0.46325,-0.2405,-0.43,0.247137912,0.761875,2,2,0.739071429,0.677071429,-0.431748143,0.442,0.680857143,-0.457285714,-0.570794762,0.351571429,-0.505214286,-0.653214286,-0.684928571,-0.458182064,0.552571429,2,2,-0.51525,-0.447166667,0.41703212,-0.328166667,-0.327,-0.650083333,-0.613308552,-0.341916667,-0.644166667,-0.391083333,0.482333333,0.560713674,0.35325
tcf4,0.095612123,-0.216625,0.126625,0.12125,-0.275785969,0.426375,-0.36225,0.576375,-0.455513748,0.0296,0.02075,-0.171125,-0.005142857,0.003,-0.21025,0.344200631,0.529571429,0.384928571,0.019,0.382978373,0.007,-0.308714286,-0.388214286,-0.475773943,0.349357143,-0.368785714,0.0325,-0.409428571,-0.387018923,0.274428571,0.388980436,0.00525,-0.417,-0.018,-0.204271711,0.359666667,-0.417916667,0.25925,0.510051401,-0.417166667,-0.41875,0.0258,0.480166667,0.216509748,0.35275
tle1,-0.595000342,0.2925,-0.4585,-0.386625,-0.474413351,0.48825,0.531875,-0.52675,0.436254633,0.570875,0.27825,0.297375,0.393125,0.441333179,-0.5135,-0.31469304,-0.404642857,-0.3465,-0.604785714,-0.361125715,-0.716785714,-0.483285714,0.613785714,0.54640122,-0.440642857,-0.406357143,0.011714286,-0.011375,-0.397547387,-0.339785714,-0.477143887,-0.336,-0.338,-0.522416667,0.689009734,-0.445916667,-0.014666667,0.645916667,-0.471381473,-0.541,-0.487583333,0.31325,0.233916667,0.513736981,0.225
tle3,-0.008835108,0.0115,-0.0025,-0.1335,-0.245161279,-0.11025,-0.012571429,-0.0215,-0.119310169,-0.004125,-0.001125,-0.004875,-0.19275,-0.172821976,-0.197625,0.306452932,-0.277428571,0.007,-0.02275,-0.361389527,-0.254071429,-0.019,-0.01025,-0.018751419,-0.23,-0.01525,0.299785714,0.0013,-0.007481985,0.399642857,-0.016475146,-0.0205,-0.0162,0.018,0.016740262,-0.0097,-0.011,-0.001,0.013612258,0.003166667,-0.269416667,0.209583333,0.004625,-0.201067426,-0.002875
tmtc1,0.339111542,0.375875,0.750875,0.63125,0.264783752,0.406875,0.14975,0.423,0.537612263,0.508375,0.29975,-0.63425,0.240875,0.246030648,0.289,-0.243995229,-0.500142857,0.423428571,0.4915,-0.404594761,0.011,-0.476357143,0.384571429,-0.34869983,0.289214286,0.018,0.472857143,-0.244142857,-0.386318191,-0.01225,-0.294468664,-0.51,0.756416667,0.012,0.492205314,-0.026375,0.023875,-0.015285714,-0.59582037,0.008666667,0.021,0.257833333,0.0188,0.345507771,0.461833333
tsnare1,0.094681448,0.286,0.094625,0.223625,0.273706827,0.154931829,0.249375,0.43525,0.300799665,0.096,0.02,0.021,0.225125,-0.408403598,0.358625,0.024722056,-0.341857143,0.3395,0.337714286,0.404660721,0.398928571,0.142857143,0.009,0.495189282,0.004166667,0.008,0.345857143,0.3315,0.012611337,-0.355785714,0.248393871,0.52525,-0.020666667,0.0348,-0.306709542,-0.280416667,-0.25875,-0.22825,-0.408805219,-0.0125,0.004333333,0.334083333,0.012833333,0.323931021,-0.00325
vrk2,0.270946805,0.21725,0.087,0.155375,0.110304554,0.3745,0.304,0.279,0.355886954,0.159125,0.2055,0.081,-0.041,0.297456872,-0.522,0.258436576,0.0155,0.001,0.0045,0.377781944,0.308785714,0.487357143,0.549357143,0.59497816,-0.186142857,0.408,0.018166667,0.014,-0.018715504,-0.388714286,-0.017231562,-0.014166667,-0.004,-0.021714286,-0.008729219,-0.336666667,0.430166667,-0.311333333,-0.30469135,-0.016833333,-0.02225,-0.019,-0.25575,-0.010439046,-0.01
znf536,0.002199437,0.001625,0.001625,0.002625,0.008013098,0.02075,0.09375,-0.20125,0.078811138,0.003,0.001,0.0214,0.0105,0.195788744,0.010428571,-0.405663552,-0.354214286,-0.021,-0.009833333,-0.398590969,-0.480285714,0.0205,0.03175,-0.417874728,-0.445071429,-0.339214286,-0.02,0.467142857,0.428481528,0.355714286,-0.186878375,0.358166667,-0.281916667,-0.019555556,-0.0322,0.247666667,-0.011727273,0.02575,-0.292586272,-0.592083333,-0.158333333,-0.32525,-0.278583333,0.433264658,0.00725
znf804a,-0.508850241,-0.2215,0.3535,-0.77575,0.576638739,0.01375,0.2665,-0.62225,0.247928334,-0.2075,-0.144125,-0.182125,-0.001125,-0.019615819,0.508375,-0.294406521,0.0135,-0.323642857,-0.409857143,0.483703407,-0.548714286,-0.02475,-0.504428571,-0.454509232,-0.423428571,0.371928571,0.0225,-0.012857143,0.364065085,-0.466357143,-0.332448475,-0.6475,-0.01125,-0.2355,-0.449945852,0.327833333,-0.025166667,0.456333333,-0.421088305,0.2795,-0.457166667,-0.029,-0.187416667,-0.014270654,0.250583333
zswim6,-0.821711681,0.511375,-0.459875,0.323125,0.40565104,0.6265,-0.695375,0.283875,0.634738044,-0.291125,-0.470625,0.42225,0.0185,0.309943408,0.597,0.513640043,0.590357143,0.368071429,0.282,0.47868075,0.692714286,0.599714286,0.394428571,0.582736024,0.4025,0.380214286,-0.532285714,0.351142857,0.524906801,0.667,0.79997031,-0.0245,-0.399833333,-0.461166667,0.607627239,-0.544833333,-0.617833333,-0.520916667,-0.416954274,0.435333333,0.479666667,0.017375,0.473583333,0.725727158,0.356166667
